,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,115448.0,117319.0,120922.0,130116.0,126834.0,78225.0,86844.0,106050.0,대한항공
1,영업이익,8831.0,11208.0,9398.0,6712.0,2575.0,1276.0,3761.0,6496.0,대한항공
2,영업이익(발표기준),8831.0,11208.0,9398.0,6712.0,2575.0,0.0,0.0,0.0,대한항공
3,당기순이익,-5630.0,-5568.0,8019.0,-1611.0,-6228.0,-5477.0,-113.0,1340.0,대한항공
4,지배주주순이익,-5650.0,-5649.0,7915.0,-1685.0,-6291.0,-5391.0,40.0,1351.0,대한항공
5,비지배주주순이익,20.0,80.0,104.0,74.0,63.0,0.0,0.0,0.0,대한항공
6,자산총계,241804.0,239565.0,246487.0,258425.0,270141.0,263595.0,262118.0,262788.0,대한항공
7,부채총계,216813.0,220822.0,208976.0,226799.0,242333.0,229980.0,228638.0,228031.0,대한항공
8,자본총계,24990.0,18744.0,37511.0,31626.0,27808.0,33615.0,33478.0,34757.0,대한항공
9,지배주주지분,23871.0,17607.0,36294.0,30395.0,26562.0,32253.0,31540.0,32702.0,대한항공
10,비지배주주지분,1119.0,1137.0,1217.0,1231.0,1246.0,1362.0,1939.0,2056.0,대한항공
11,자본금,3698.0,3698.0,4798.0,4798.0,4798.0,8834.0,8894.0,8894.0,대한항공
12,부채비율,867.59,1178.12,557.1,717.13,871.45,684.16,682.94,656.06,대한항공
13,유보율,545.6,376.18,656.48,533.53,453.63,0.0,0.0,0.0,대한항공
14,영업이익률,7.65,9.55,7.77,5.16,2.03,1.63,4.33,6.13,대한항공
15,지배주주순이익률,-4.89,-4.81,6.55,-1.29,-4.96,-6.89,0.05,1.27,대한항공
16,ROA,-2.36,-2.31,3.3,-0.64,-2.36,-2.05,-0.04,0.51,대한항공
17,ROE,-25.23,-27.24,29.37,-5.05,-22.09,-18.33,0.13,4.21,대한항공
18,EPS,-7341.0,-7106.0,8516.0,-1750.0,-6533.0,-3903.0,23.0,771.0,대한항공
19,BPS,30030.0,22149.0,37689.0,31563.0,27582.0,18397.0,17990.0,18652.0,대한항공
20,DPS,0.0,0.0,250.0,250.0,0.0,250.0,250.0,225.0,대한항공
21,PER,0.0,0.0,3.32,0.0,0.0,0.0,1051.82,31.08,대한항공
22,PBR,0.73,0.97,0.75,0.88,0.86,1.3,1.33,1.28,대한항공
23,발행주식수,78036.0,78036.0,94845.0,94845.0,94845.0,0.0,0.0,0.0,대한항공
24,배당수익률,0.0,0.0,0.88,0.9,0.0,0.0,0.0,0.0,대한항공
